矛盾与选择:中国崛起背景下的南海问题,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2010&filename=GCHS201004019,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJPYxPoFw%2bp%2bi0fIiSrcN6lUI8K2%2bLLFepynYNZn4Qd4Vqfi8%2bi%2f76dNraIZO5iW6BgPkkgoJ4CJKpNbMmCtG9zAtqddCdidyosdSaMNWur3ZJBjdlDrNnftoR5pdZPiFRNlKM4sfpT3nRHSqBOA4sms8GQBtE8Z8mK%2fNwS15YoSEHPP9gMb7qtLMyevt2btciA%3d%3d
如何构筑“南站新城”,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2010&filename=CSGC2010S1054,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJPYxPoFw%2bp%2bi0fIiSrcN6lUar9l07nHhhUBEXu%2bQOr97%2fZK%2buEOcl77kRL0rwPl81wPkkgoJ4CJKpNbMmCtG9zAtqddCdidyosdSaMNWur3ZJBjdlDrNnftoR5pdZPiFRNlKM4sfpT3nRHSqBOA4sms8GQBtE8Z8mK%2fNwS15YoSEVgvMa4abSuGtUJMeAKjSlw%3d%3d
广府文化与龙舟运动,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2010&filename=CSGC2010S1055,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJPYxPoFw%2bp%2bi0fIiSrcN6lUar9l07nHhhUBEXu%2bQOr97CkoTZWV4ALw%2fepSDtK3%2ffwPkkgoJ4CJKpNbMmCtG9zAtqddCdidyosdSaMNWur3ZJBjdlDrNnftoR5pdZPiFRNlKM4sfpT3nRHSqBOA4sms8GQBtE8Z8mK%2fNwS15YoSEgAtx8Jg0xDVJ5yj0Hh5Xcw%3d%3d
同城化背景下广佛的挑战与机遇,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2010&filename=CSGC2010S1065,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJPYxPoFw%2bp%2bi0fIiSrcN6lUar9l07nHhhUBEXu%2bQOr97CXK1lNuUdrH383d15R%2bYYgPkkgoJ4CJKpNbMmCtG9zAtqddCdidyosdSaMNWur3ZJBjdlDrNnftoR5pdZPiFRNlKM4sfpT3nRHSqBOA4sms8GQBtE8Z8mK%2fNwS15YoSEfZZTx1nUOzCjp4cVgp97kw%3d%3d
知识分子到哪里去,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CCND&dbname=CCNDLAST2011&filename=RMRB201012310170,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJKHvuz3f2uuL5NS4%2fNPS7bkIfBPwC0HgGaTdjrpdPLvPWuCdFLq2z61BuckvZDIAQaAxVNMzYpdYb947LUWoK6Jms%2b1Ixci6bTucb5n0CX7ZyIYzWVm92m0yuYKGut639uLkNvX1T1oyTzo0iPXtbtkyI%2bMzzRbqad9DSrV8HgXoH%2bvcK%2bQ%2byMTnSpPQyD8PEukF6LM3CCVQB4Ssm5OkX8A%3d
南海断续线的法律地位:历史性水域、疆域线、抑或岛屿归属线?,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2010&filename=LYWT201004004,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJPYxPoFw%2bp%2bi0fIiSrcN6lXzQkkxpokvZmCkr3HdpFG2kSJjWy3W0i%2b8K1%2b7%2bDUhfAPkkgoJ4CJKpNbMmCtG9zAtqddCdidyosdSaMNWur3ZJBjdlDrNnftoR5pdZPiFRNlKM4sfpT3nRHSqBOA4sms8GQBtE8Z8mK%2fNwS15YoSE54hDoALguEUqw9TlN4XHew%3d%3d
越南与崛起中的中国——成熟的不对称性动力,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2010&filename=NYYC201004006,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJPYxPoFw%2bp%2bi0fIiSrcN6lVA5vZEBrLmlyb38jGPyWUbk3PgOdB%2f8KZdF0hYj%2bY0tAPkkgoJ4CJKpNbMmCtG9zAtqddCdidyosdSaMNWur3ZJBjdlDrNnftoR5pdZPiFRNlKM4sfpT3nRHSqBOA4sms8GQBtE8Z8mK%2fNwS15YoSEKvKnrrjuQsURN4S%2bdbg%2fhQ%3d%3d
南海问题的新形势与新发展,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2010&filename=GJZX201012011,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJPYxPoFw%2bp%2bi0fIiSrcN6lVSoMoBhtJNgVByzr8Z29zVH%2baLmkDLv%2bEsl5%2f0QJVlGwPkkgoJ4CJKpNbMmCtG9zAtqddCdidyosdSaMNWur3ZJBjdlDrNnftoR5pdZPiFRNlKM4sfpT3nRHSqBOA4sms8GQBtE8Z8mK%2fNwS15YoSEL4glYzNE1FKnpclRdThBag%3d%3d
南海罗村：新光源产业发展势头正旺,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CCND&dbname=CCNDLAST2011&filename=JJRB201012300150,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJKHvuz3f2uuL5NS4%2fNPS7bkJe%2bMyYYHv2AV%2b%2fE8nyZJ5klaO8Q7oSqe9bKLEMTQylaAxVNMzYpdYb947LUWoK6Jms%2b1Ixci6bTucb5n0CX7ZyIYzWVm92m0yuYKGut639uLkNvX1T1oyTzo0iPXtbtkyI%2bMzzRbqad9DSrV8HgXoH%2bvcK%2bQ%2byMTnSpPQyD8PEu2FUiE27WdyB3mICBpL%2bss%3d
强强联合共建南海蓝色经济区,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CCND&dbname=CCNDLAST2011&filename=HLRB20101230A022,https://bar.cnki.net/bar/download/order?id=jBGETXBNdPImvx70aLAuJKHvuz3f2uuL5NS4%2fNPS7ble4C8xAq%2bLFdQCaPHq79OSl3zzgzy%2fVkglObxPQvejkKAxVNMzYpdYb947LUWoK6Jms%2b1Ixci6bTucb5n0CX7ZyIYzWVm92m0yuYKGut639uLkNvX1T1oyTzo0iPXtbtkyI%2bMzzRbqad9DSrV8HgXoH%2bvcK%2bQ%2byMTnSpPQyD8PEhQYvZy4Izv0Gcwmrl0Lsww%3d
